 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.66299999993793,    2.20999999998488,    2.00000000000765,    4.41999999998668,    2.00000000000765,
    1,     0.67649009092585,    2.20999999998409,    2.00000000000686,    4.41999999998335,    2.00000000000686,
    2,     0.70206249993779,    2.20999999998447,    2.00000000000728,    4.41999999998503,    2.00000000000728,
    3,     0.72763490894973,    2.20999999998473,    2.00000000000729,    4.41999999998557,    2.00000000000729,
    4,     0.74112499993765,    2.20999999998478,    2.00000000000634,    4.41999999998357,    2.00000000000634,
    5,     0.75461509092558,    2.20999999998495,    2.00000000000713,    4.41999999998568,    2.00000000000713,
    6,     0.78018749993751,    2.20999999998499,    2.00000000000744,    4.41999999998642,    2.00000000000744,
    7,     0.80575990894945,    2.20999999998489,    2.00000000000712,    4.41999999998552,    2.00000000000712,
    8,     0.81924999993737,    2.20999999998446,    2.00000000000730,    4.41999999998503,    2.00000000000730,
    9,     0.83274009092529,    2.20999999998573,    2.00000000000729,    4.41999999998757,    2.00000000000729,
   10,     0.85831249993723,    2.20999999998512,    2.00000000000727,    4.41999999998631,    2.00000000000727,
   11,     0.88388490894917,    2.20999999998506,    2.00000000000744,    4.41999999998655,    2.00000000000744,
   12,     0.89737499993709,    2.20999999998837,    2.00000000000748,    4.41999999999327,    2.00000000000748,
   13,     0.91086509092500,    2.20999999998472,    2.00000000000741,    4.41999999998582,    2.00000000000741,
   14,     0.93643749993694,    2.20999999998548,    2.00000000000774,    4.41999999998806,    2.00000000000774,
   15,     0.96200990894887,    2.20999999998521,    2.00000000000754,    4.41999999998709,    2.00000000000754,
   16,     0.97549999993679,    2.20999999998704,    2.00000000000706,    4.41999999998968,    2.00000000000706,
   17,     0.98899009092471,    2.20999999998488,    2.00000000000786,    4.41999999998714,    2.00000000000786,
   18,     1.01456249993664,    2.20999999998623,    2.00000000000756,    4.41999999998918,    2.00000000000756,
   19,     1.04013490894857,    2.20999999998650,    2.00000000000770,    4.41999999999002,    2.00000000000770,
   20,     1.05362499993649,    2.20999999998448,    2.00000000000763,    4.41999999998582,    2.00000000000763,
   21,     1.06711509092441,    2.20999999998585,    2.00000000000768,    4.41999999998867,    2.00000000000768,
   22,     1.09268749993634,    2.20999999998651,    2.00000000000790,    4.41999999999047,    2.00000000000790,
   23,     1.11825990894827,    2.20999999998576,    2.00000000000777,    4.41999999998869,    2.00000000000777,
   24,     1.13174999993619,    2.20999999998755,    2.00000000000810,    4.41999999999300,    2.00000000000810,
   25,     1.14524009092410,    2.20999999998665,    2.00000000000780,    4.41999999999054,    2.00000000000780,
   26,     1.17081249993603,    2.20999999998604,    2.00000000000814,    4.41999999999008,    2.00000000000814,
   27,     1.19638490894796,    2.20999999998734,    2.00000000000779,    4.41999999999188,    2.00000000000779,
   28,     1.20987499993588,    2.20999999998752,    2.00000000000719,    4.41999999999092,    2.00000000000719,
   29,     1.22336509092380,    2.20999999998568,    2.00000000000793,    4.41999999998890,    2.00000000000793,
   30,     1.24893749993572,    2.20999999998647,    2.00000000000837,    4.41999999999145,    2.00000000000837,
   31,     1.27450990894764,    2.20999999998728,    2.00000000000835,    4.41999999999302,    2.00000000000835,
   32,     1.28799999993556,    2.20999999998673,    2.00000000000764,    4.41999999999034,    2.00000000000764,
   33,     1.30149009092348,    2.20999999998684,    2.00000000000780,    4.41999999999091,    2.00000000000780,
   34,     1.32706249993540,    2.20999999998749,    2.00000000000820,    4.41999999999311,    2.00000000000820,
