 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.66299999991254,    2.20999999937770,    1.99999999998914,    4.41999999873139,    1.99999999998914,
    1,     0.87884145574112,    2.20999999964565,    1.99999999970165,    4.41999999863194,    1.99999999970165,
    2,     1.28799999996260,    2.21000000066666,    2.00000000018447,    4.42000000174098,    2.00000000018447,
    3,     1.69715854401399,    2.20999999331824,    2.00000000120440,    4.41999998929820,    2.00000000120440,
    4,     1.91299999966671,    2.21000003477221,    1.99999993947544,    4.41999993578515,    1.99999993947544,
    5,     2.12884145668559,    2.20999999958596,    2.00000005410644,    4.42000011874715,    2.00000005410644,
    6,     2.53799999770839,    2.20999996699196,    1.99999992992893,    4.41999977912684,    1.99999992992893,
    7,     2.94715856112950,    2.21000059857854,    1.99999999068561,    4.42000117657227,    1.99999999068561,
    8,     3.16299999851185,    2.20999601570623,    2.00000371645949,    4.42000024477312,    2.00000371645949,
    9,     3.37884137330468,    2.21000076328819,    1.99999668200878,    4.41999419381325,    1.99999668200878,
   10,     3.78799979523189,    2.20998557091203,    2.00001183581995,    4.41999729881537,    2.00001183581995,
   11,     4.19715077836771,    2.20980976430021,    2.00006864689089,    4.41977122517021,    2.00006864689089,
   12,     4.41298247671671,    2.20991941589195,    2.00016143563240,    4.42019559152235,    2.00016143563240,
   13,     4.62886745953821,    2.21056755006266,    1.99940260717963,    4.41981452294197,    1.99985128076239,
   14,     5.03799587001381,    2.21018505227377,    2.00086812893640,    4.42228883014621,    1.99976408754231,
   15,     5.44723667099510,    2.21228218917478,    1.99634507721818,    4.41647865777653,    1.99876189568443,
   16,     5.66389961393997,    2.22383780237588,    1.98735996365872,    4.41956621411261,    1.99699022215731,
   17,     5.88233551334246,    2.24704485268890,    1.96721028637542,    4.42040974815656,    1.99185237348702,
   18,     6.30253225528054,    2.30430892580099,    1.91940471223690,    4.42290141063199,    1.97878596854977,
   19,     6.72835292679414,    2.36488987364911,    1.86931440442754,    4.42072270569710,    1.96415981822012,
   20,     6.95361907928386,    2.39422596552451,    1.84606994911367,    4.41990860634246,    1.95689384255719,
   21,     7.17855471423906,    2.42154805207997,    1.82383969691952,    4.41651546538159,    1.94919770609251,
   22,     7.60362141715184,    2.46902255124207,    1.78925056715804,    4.41770000013586,    1.93767715313099,
   23,     8.02633121721455,    2.50904998631459,    1.76203396763922,    4.42103130239102,    1.92832597194876,
   24,     8.24834293768520,    2.52631558276209,    1.74994613444830,    4.42091618845102,    1.92383470986947,
   25,     8.46971628615449,    2.54099715941951,    1.73953944890890,    4.42016479837570,    1.91989669845266,
   26,     8.88764162865461,    2.56366319708855,    1.72408493379973,    4.41997309343720,    1.91394424238562,
   27,     9.30335231991757,    2.57897000251835,    1.71387029920117,    4.42002008984695,    1.90994539757898,
   28,     9.52178372303566,    2.58415917376321,    1.71038750003530,    4.41991354890613,    1.90854958020206,
   29,     9.73962849270190,    2.58743768509240,    1.70825392411311,    4.42000057895722,    1.90770756235232,
   30,     10.15099682799565,    2.58835217812449,    1.70764811315665,    4.41999471315921,    1.90747060739968,
   31,     10.56031650627782,    2.58245266577975,    1.71155292239857,    4.42000440707131,    1.90902221230933,
   32,     10.77542396622328,    2.57661979190876,    1.71542576504884,    4.41999997777508,    1.91055719925063,
   33,     10.98996660877730,    2.56890772118784,    1.72057917783459,    4.42000913485430,    1.91257970058230,
   34,     11.39510838045417,    2.54911369860182,    1.73392984743380,    4.41998432650806,    1.91774325980752,
   35,     11.79819721173177,    2.52250068234812,    1.75223493913505,    4.42001382960240,    1.92462194984780,
   36,     12.00999883495718,    2.50567096150160,    1.76400066864743,    4.42000525149926,    1.92893771285679,
   37,     12.22121379642697,    2.48690370545588,    1.77730220131158,    4.41997943015665,    1.93371070435367,
   38,     12.61996753174720,    2.44600778997037,    1.80703303166191,    4.42001687217879,    1.94400137899939,
   39,     13.01657414003394,    2.39837755506921,    1.84288104422896,    4.41992453314123,    1.95573648689393,
   40,     13.22495095625087,    2.37099681463591,    1.86434946288484,    4.42036663786811,    1.96244603242533,
   41,     13.43279860148092,    2.34201633276979,    1.88709480829563,    4.41960686251345,    1.96934310180585,
   42,     13.82553522628558,    2.28549151927510,    1.93439343061433,    4.42103978061050,    1.98267892582629,
   43,     14.21788009940048,    2.23616645202172,    1.97665764721543,    4.42013551783533,    1.99393265801840,
   44,     14.42575394659644,    2.21811266135360,    1.99244943776821,    4.41947732502054,    1.99781259105991,
   45,     14.63540506719222,    2.21064731844922,    1.99873335494593,    4.41849453140622,    2.00001108068424,
   46,     15.03847394750473,    2.21099259631425,    2.00142804687910,    4.42514259370538,    2.00076474719218,
   47,     15.44681223716231,    2.20949248246098,    1.99934508593538,    4.41753793721952,    1.99960779767989,
   48,     15.66288733463814,    2.20853463005545,    1.99927195294804,    4.41546134298432,    1.99927195294804,
   49,     15.87883119370157,    2.20788471864836,    1.99911232640444,    4.41380955632992,    1.99911232640444,
   50,     16.28809738295823,    2.20991115875348,    1.99990641896530,    4.41961551173413,    1.99990641896530,
   51,     16.69720626190923,    2.21082145743664,    2.00041266056148,    4.42255523369724,    2.00041266056148,
   52,     16.91301588977917,    2.21055562313948,    2.00018681275324,    4.42152420626111,    2.00018681275324,
   53,     17.12883959760359,    2.21009023970593,    2.00006377998873,    4.42032143894243,    2.00006377998873,
   54,     17.53799999741895,    2.20997215192194,    1.99997189585202,    4.41988219445948,    1.99997189585202,
   55,     17.94715872821592,    2.21001219598751,    2.00001867981933,    4.42006567460356,    2.00001867981933,
   56,     18.16299975309186,    2.20999734995786,    1.99998515470892,    4.41996189186179,    1.99998515470892,
   57,     18.37884145319587,    2.20999793777888,    1.99999898162510,    4.41999362495132,    1.99999898162510,
   58,     18.78800000526146,    2.21000037183267,    2.00000029939479,    4.42000140532794,    2.00000029939479,
   59,     19.19715854146725,    2.20999987998806,    1.99999982245996,    4.41999936761265,    1.99999982245996,
   60,     19.41300000218342,    2.21000002321226,    2.00000013935275,    4.42000035439410,    2.00000013935275,
   61,     19.62884145580660,    2.21000001699499,    2.00000000917733,    4.42000005427187,    2.00000000917733,
   62,     20.03799999989997,    2.20999999739428,    1.99999999748719,    4.41999998923523,    1.99999999748719,
   63,     20.44715854414436,    2.21000000088633,    2.00000000156643,    4.42000000523446,    2.00000000156643,
   64,     20.66299999992109,    2.20999999963340,    1.99999999867347,    4.41999999633517,    1.99999999867347,
   65,     20.87884145574310,    2.20999999991768,    1.99999999994197,    4.41999999970711,    1.99999999994197,
   66,     21.28799999993558,    2.21000000001266,    2.00000000001843,    4.42000000006604,    2.00000000001843,
   67,     21.69715854412777,    2.20999999999426,    1.99999999998887,    4.41999999996391,    1.99999999998887,
   68,     21.91299999993535,    2.21000000000232,    2.00000000001108,    4.42000000002913,    2.00000000001108,
   69,     22.12884145574272,    2.20999999999950,    2.00000000000096,    4.42000000000111,    2.00000000000096,
   70,     22.53799999993508,    2.20999999999950,    2.00000000000045,    4.41999999999999,    2.00000000000045,
   71,     22.94715854412746,    2.20999999999912,    2.00000000000065,    4.41999999999967,    2.00000000000065,
   72,     23.16299999993490,    2.20999999999901,    2.00000000000070,    4.41999999999956,    2.00000000000070,
   73,     23.37884145574235,    2.20999999999944,    2.00000000000055,    4.42000000000009,    2.00000000000055,
   74,     23.78799999993473,    2.20999999999944,    2.00000000000058,    4.42000000000016,    2.00000000000058,
   75,     24.19715854412709,    2.20999999999956,    2.00000000000065,    4.42000000000056,    2.00000000000065,
   76,     24.41299999993453,    2.20999999999876,    2.00000000000069,    4.41999999999904,    2.00000000000069,
   77,     24.62884145574198,    2.20999999999930,    2.00000000000055,    4.41999999999982,    2.00000000000055,
   78,     25.03799999993437,    2.20999999999978,    2.00000000000037,    4.42000000000037,    2.00000000000037,
   79,     25.44715854412680,    2.21000000000051,    2.00000000000028,    4.42000000000165,    2.00000000000028,
   80,     25.66299999993428,    2.21000000000039,    2.00000000000027,    4.42000000000138,    2.00000000000027,
