 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.66299904608410,    2.20997636854944,    1.99997166179490,    4.41989011033528,    1.99997166179490,
    1,     1.09468268505104,    2.20999269114484,    2.00000951947396,    4.42000642025757,    2.00000951947396,
    2,     1.91300062952414,    2.21001531018599,    1.99998252256457,    4.41999199497208,    1.99998252256457,
    3,     2.73131300566888,    2.20984153003448,    2.00008865485958,    4.41987897325949,    2.00008865485958,
    4,     3.16295618227836,    2.20945696930269,    2.00078977570974,    4.42065891405144,    2.00078977570974,
    5,     3.59473058646345,    2.21100415734504,    1.99882286325324,    4.41940566044923,    1.99929711715945,
    6,     4.41288949230074,    2.20729817465803,    2.00250073985296,    4.42011622782879,    2.00129912821637,
    7,     5.23036498878337,    2.20641541843789,    1.99848909189588,    4.40949714593901,    2.00076137887331,
    8,     5.66357994894854,    2.22887714092527,    1.98812511200528,    4.43128661544806,    1.99773800509799,
    9,     6.10345932665048,    2.27468097688231,    1.94127541412354,    4.41578225539616,    1.98596204605131,
   10,     6.95423123487574,    2.39839328970646,    1.84951285117013,    4.43585921147229,    1.95836907009539,
   11,     7.80373446004883,    2.49114413109026,    1.77520623373447,    4.42229459064245,    1.93356775581772,
   12,     8.24816314811325,    2.52437626640512,    1.74936181560111,    4.41604744865880,    1.92324469806674,
   13,     8.69037814598525,    2.55335655666129,    1.73050828431770,    4.41860467411929,    1.91624295874163,
   14,     9.52177443674551,    2.58399309193508,    1.71024322170213,    4.41925667040709,    1.90849694829598,
   15,     10.34464688176364,    2.58643163521502,    1.70899692511255,    4.42020371159629,    1.90798692769634,
   16,     10.77542458781745,    2.57663170321363,    1.71531192974570,    4.41972709908332,    1.91044335604781,
   17,     11.20394114217050,    2.55924251426417,    1.72724266849457,    4.42043286966240,    1.91526810098066,
   18,     12.01002192029736,    2.50633808048746,    1.76347927711426,    4.41987526638196,    1.92845242708053,
   19,     12.80789034647961,    2.42540222976456,    1.82296753700134,    4.42142952903146,    1.94914693970868,
   20,     13.22510969455621,    2.36782240708755,    1.86509789546208,    4.41622058828693,    1.96318268470126,
   21,     13.63884536239287,    2.30331217627096,    1.91772224624126,    4.41711300047319,    1.97912844719957,
   22,     14.42572273148316,    2.21771984628221,    1.98319101674224,    4.39816207679786,    1.99807767119435,
   23,     15.23241382181334,    2.21705837299281,    2.00658376296971,    4.44871333280341,    2.00422721963060,
   24,     15.66343847875263,    2.22362525062391,    2.00550881049165,    4.45950003135796,    2.00550881049165,
   25,     16.09435400213361,    2.20987788609163,    2.00093784155668,    4.42182828750001,    2.00093784155668,
   26,     16.91298195404175,    2.20901160513455,    1.99901278133585,    4.41584243278319,    1.99901278133585,
   27,     17.73132298899419,    2.21028748644750,    2.00055183480032,    4.42179468644872,    2.00055183480032,
   28,     18.16299129210962,    2.20982396026108,    1.99952124362322,    4.41858995320962,    1.99952124362322,
   29,     18.59468347255899,    2.20998355050742,    1.99998254583240,    4.41992852759155,    1.99998254583240,
   30,     19.41300004555557,    2.21000396160236,    2.00000648551330,    4.42002225621482,    2.00000648551330,
   31,     20.23131706815851,    2.20999852369875,    1.99999577272219,    4.41998770511978,    1.99999577272219,
   32,     20.66300003047121,    2.21000115895787,    2.00000392287197,    4.42001098746733,    2.00000392287197,
   33,     21.09468290916565,    2.21000001899543,    2.00000006029922,    4.42000017125213,    2.00000006029922,
   34,     21.91300000006937,    2.20999999224529,    1.99999997650043,    4.41999993255652,    1.99999997650043,
   35,     22.73131708836737,    2.21000000326722,    2.00000001586897,    4.42000004160487,    2.00000001586897,
   36,     23.16299999997267,    2.20999999666700,    1.99999998476139,    4.41999995965667,    1.99999998476139,
   37,     23.59468291162290,    2.21000000011964,    1.99999999994735,    4.42000000012292,    1.99999999994735,
   38,     24.41299999999941,    2.20999999999821,    2.00000000003320,    4.42000000006978,    2.00000000003320,
   39,     25.23131708838531,    2.21000000000415,    1.99999999997521,    4.41999999995351,    1.99999999997521,
   40,     25.66300000000111,    2.21000000000054,    2.00000000003702,    4.42000000008289,    2.00000000003702,
