dt,error ADER_gaussLobatto,error ADER_L2_gaussLobatto,error ADER_u_gaussLobatto,time ADER_gaussLobatto,time ADER_L2_gaussLobatto,time ADER_u_gaussLobatto
1.0,0.12182667975489646,0.12182667975489646,0.12182667975489646,0.00028262869629543276,0.00027645961584390273,0.0002770405077441995
0.5,0.027588395264654408,0.027588395264654408,0.027588395264654408,0.0005199487498861604,0.0005186014592847122,0.0005164006709985967
0.25,0.0066824412941465265,0.0066824412941465265,0.0066824412941465265,0.0009978066276193464,0.000995791223132983,0.0010007551274362153
0.125,0.0016433480457068905,0.0016433480457068905,0.0016433480457068905,0.0019523703718524693,0.0019496833285749225,0.0019388366342588726
0.0625,0.00040713268940563706,0.00040713268940563706,0.00040713268940563706,0.0038798682100605222,0.003844856774168355,0.0038547836586699954
