dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced
1.0,2.226663308059437e-05,4.6382519005678974e-05,2.3737703229422204e-05,0.015284313244212951,0.004929878235728081,0.009387579618321198
0.5,1.5936943510917912e-07,3.0175065983840657e-07,1.5655872111476173e-07,0.0304078444273078,0.009842895099926474,0.018775542888491013
0.25,1.1914231795521877e-09,2.2308778123192974e-09,1.1444135036156593e-09,0.06082229701236689,0.0197202431014739,0.03727592581417411
0.125,9.098570304939386e-12,1.7021454808778893e-11,8.6715059724757e-12,0.12169474198516192,0.03916042615892366,0.0749043062977892
0.0625,7.021544996510241e-14,1.3148570693468825e-13,6.658763564142103e-14,0.24264068873266556,0.07827802772933086,0.15016229018635516
