dt,error ADER_gaussLegendre,error ADER_L2_gaussLegendre,error ADER_u_gaussLegendre,time ADER_gaussLegendre,time ADER_L2_gaussLegendre,time ADER_u_gaussLegendre
1.0,2.2871185167543775e-05,2.861711945505153e-05,1.7750308875222617e-05,0.006168898425530643,0.004970638430344739,0.005742687673108386
0.5,1.6341117779373468e-07,1.914132684266761e-07,1.3810892632067194e-07,0.01224242489152987,0.009901926300122535,0.011414439388650601
0.25,1.2178109056735036e-09,1.4017180130186017e-09,1.0811944020727378e-09,0.02448031301443864,0.019787565401722013,0.022936117570913794
0.125,9.280065617917278e-12,1.0624343166571985e-11,8.441418034939768e-12,0.048762556958744034,0.03966988708458043,0.045770595172819284
0.0625,7.161132394948309e-14,8.172296796172274e-14,6.594490057213054e-14,0.09739559171555032,0.07851372691636373,0.09140441269015095
