dt,error ADER_gaussLegendre,error ADER_L2_gaussLegendre,error ADER_u_gaussLegendre,time ADER_gaussLegendre,time ADER_L2_gaussLegendre,time ADER_u_gaussLegendre
0.25,0.00019716482102780618,0.00019716482102785608,0.00019716482102780618,0.005914812101483611,0.00473661033020887,0.005496008144525279
0.125,9.042308885965267e-07,9.042308885965267e-07,9.042308885965267e-07,0.011982642857224812,0.009703844838409817,0.011296977755680147
0.0625,5.2412584403432e-09,5.2412584403432e-09,5.2412584403432e-09,0.02350911622800465,0.01873631598976707,0.021713164039621397
0.03125,3.518394842693257e-11,3.518394842693257e-11,3.518394842693257e-11,0.04713990101258137,0.037543544645554254,0.04350019128594015
0.015625,2.547537673848194e-13,2.547537673848194e-13,2.547537673848194e-13,0.09417365369819371,0.07521546020205798,0.08735294724049579
