dt,error ADER_gaussLegendre,error ADER_L2_gaussLegendre,error ADER_u_gaussLegendre,time ADER_gaussLegendre,time ADER_L2_gaussLegendre,time ADER_u_gaussLegendre
0.25,0.01870132236973399,0.018701322369734007,0.01870132236973399,0.0013952669491658785,0.0011888302528532224,0.0013958611172524148
0.125,0.0006939730027838792,0.0006939730027838792,0.0006939730027838792,0.0027564732284684266,0.0023639602930883743,0.002746183854427987
0.0625,3.273297455714492e-05,3.273297455714492e-05,3.273297455714492e-05,0.005470642449633618,0.004677674969924348,0.005472236088410552
0.03125,1.7751516222799425e-06,1.7751516222799425e-06,1.7751516222799425e-06,0.010843835391237266,0.00930328471469693,0.010815211831192885
0.015625,1.0336995730945747e-07,1.0336995730945747e-07,1.0336995730945747e-07,0.02177384415907519,0.01857431102294608,0.021542332858578966
