 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.45246335320066,    1.50821117745819,    1.01444679839929,    1.53000000028248,    1.01444679839929,
    1,     0.66830480900578,    1.50821117736350,    1.01444679826674,    1.52999999998651,    1.01444679826674,
    2,     1.07746335319593,    1.50821117723437,    1.01444679836334,    1.53000000000121,    1.01444679836334,
    3,     1.48662189739714,    1.50821117803064,    1.01444679803846,    1.53000000031900,    1.01444679803846,
    4,     1.70246335332584,    1.50821117722540,    1.01444679871610,    1.53000000052415,    1.01444679871610,
    5,     1.91830480881880,    1.50821117333332,    1.01444679884233,    1.52999999676621,    1.01444679884233,
    6,     2.32746335369830,    1.50821119230179,    1.01444679599722,    1.53000001171771,    1.01444679599722,
    7,     2.73662189567545,    1.50821106419446,    1.01444681834262,    1.52999991546120,    1.01444681834262,
    8,     2.95246334409358,    1.50821172341211,    1.01444562268893,    1.52999878090354,    1.01444562268893,
    9,     3.16830482676322,    1.50821118098717,    1.01444789065558,    1.53000165121560,    1.01444789065558,
   10,     3.57746330410519,    1.50821000728213,    1.01444560446092,    1.52999701249133,    1.01444560446092,
   11,     3.98662144675835,    1.50820225679045,    1.01445396509260,    1.53000175956268,    1.01445396509260,
   12,     4.20245971337140,    1.50806407457577,    1.01450675786723,    1.52994119495391,    1.01450675786723,
   13,     4.41830713182351,    1.50828676223864,    1.01436699656257,    1.52995631296709,    1.01444949540856,
   14,     4.82745530404561,    1.50823792044519,    1.01458950828576,    1.53024237008242,    1.01438048192003,
   15,     5.23662806638583,    1.50828703747875,    1.01392643874470,    1.52929210451563,    1.01432171451262,
   16,     5.45270858970359,    1.51339351733623,    1.01232169215714,    1.53204108636947,    1.01399390323153,
   17,     5.67031300202809,    1.52893286669049,    1.00123642638549,    1.53082327962851,    1.01147206805371,
   18,     6.09146203276686,    1.59565771222352,    0.95987703147479,    1.53163518805896,    1.00093531751561,
   19,     6.52385186176038,    1.68594309499062,    0.90616700654519,    1.52774600759319,    0.98495850839200,
   20,     6.75455644233676,    1.73843251390448,    0.87894228829592,    1.52798185181924,    0.97551131598109,
   21,     6.98554044586370,    1.79076868248925,    0.85341389982788,    1.52826688501278,    0.96641677182584,
   22,     7.42374027372348,    1.89277891757162,    0.80864361933170,    1.53058359449985,    0.94796284962995,
   23,     7.86174554210490,    1.99116717608151,    0.76848845348698,    1.53018898378093,    0.92838672669206,
   24,     8.09265768355221,    2.04246607634836,    0.74904288499815,    1.52989468233883,    0.91772524865811,
