 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.66299999980974,    2.21000000000086,    2.00000000913109,    4.42000002018144,    2.00000000913109,
    1,     1.00849150269004,    2.21000000000249,    1.99999999316331,    4.41999998489591,    1.99999999316331,
    2,     1.56750849824475,    2.21000001702826,    2.00000000645604,    4.42000004832438,    2.00000000645604,
    3,     1.91299999740961,    2.20999964060781,    2.00000072813785,    4.42000089040000,    2.00000072813785,
    4,     2.25849149523955,    2.21000039022551,    1.99999909459692,    4.41999877950986,    1.99999909459692,
    5,     2.81750862726178,    2.21000107731622,    2.00000110993916,    4.42000460759917,    2.00000110993916,
    6,     3.16299956178850,    2.20996646452116,    2.00003820733931,    4.42001736598088,    2.00003820733931,
    7,     3.50849033526170,    2.21002884348955,    1.99995341347505,    4.41995472941524,    1.99995341347505,
    8,     4.06752503193988,    2.21025972875481,    1.99996038700868,    4.42043190251016,    1.99996038700868,
    9,     4.41301385640376,    2.20891274182205,    2.00003931522526,    4.41791232754611,    2.00003931522526,
   10,     4.75819822002472,    2.20567202566321,    2.00278971982863,    4.41749725831188,    2.00160190945250,
   11,     5.31688023718230,    2.20937361513172,    1.99761617475224,    4.41348046965796,    2.00072590268916,
   12,     5.66351907438747,    2.22536377826017,    1.98880510914197,    4.42581485190331,    1.99841469694587,
   13,     6.01470597249510,    2.26389746460615,    1.95040305426049,    4.41551252950043,    1.98771826497302,
   14,     6.59393162141704,    2.34686815321311,    1.88687566851501,    4.42824841551057,    1.96947565593419,
   15,     6.95428572353664,    2.39868881578142,    1.84814778330498,    4.43313141772488,    1.95901721017086,
   16,     7.31354643000331,    2.44107300587394,    1.81388136349792,    4.42781683229257,    1.94700376185463,
   17,     7.89252924412048,    2.49665782582962,    1.76947976226934,    4.41778549611689,    1.93078515845098,
   18,     8.24834137088049,    2.52583525311938,    1.74979392498772,    4.41969118142811,    1.92368245079987,
   19,     8.60241476489970,    2.54887729298226,    1.73411193204408,    4.42003852707676,    1.91777147593660,
   20,     9.17187437036494,    2.57506266047480,    1.71655329401788,    4.42023229214048,    1.91106829851173,
   21,     9.52178287828582,    2.58427587344459,    1.71043221685937,    4.42022871119201,    1.90859429050315,
   22,     9.87020268235438,    2.58846210777816,    1.70758191157009,    4.42001107402659,    1.90744293862507,
   23,     10.43083690315844,    2.58505852984140,    1.70982713810375,    4.42000322790940,    1.90833283610971,
   24,     10.77542148316127,    2.57661572104281,    1.71543180894501,    4.42000856730462,    1.91056327470333,
   25,     11.11856493379088,    2.56337692886369,    1.72422236913653,    4.41983184127526,    1.91402718942366,
   26,     11.67069634213544,    2.53168258179553,    1.74595457360548,    4.42020278260323,    1.92225608861254,
   27,     12.00999583954050,    2.50561968199039,    1.76405078193823,    4.42004035925497,    1.92898793916940,
   28,     12.34779740114713,    2.47483022491075,    1.78584271852753,    4.41965753674871,    1.93667457165038,
   29,     12.89118081696563,    2.41459765534806,    1.83085201464405,    4.42077098184878,    1.95179060728321,
   30,     13.22498834764570,    2.36960345981410,    1.86441152987719,    4.41791601171427,    1.96250532459774,
   31,     13.55709703990908,    2.32036456225223,    1.90504813376394,    4.42040617897059,    1.97515750061948,
   32,     14.09287203083881,    2.24806220763113,    1.96275504254038,    4.41239543397246,    1.99140104387743,
   33,     14.42536575493076,    2.21838386406825,    1.99330614563881,    4.42191818963320,    1.99868503648410,
   34,     14.76248299097239,    2.20877966726952,    1.99815563561158,    4.41348553997884,    1.99989628125347,
   35,     15.31801309887546,    2.21233251219405,    2.00201087867580,    4.42911375666066,    2.00134601120297,
   36,     15.66346753408987,    2.21365784388677,    2.00319556693796,    4.43438957959142,    2.00319556693796,
   37,     16.00848034585308,    2.21372949757327,    2.00146314500431,    4.43069800240181,    2.00146314500431,
