 indi,                  x_v,                   v,                   H,                   q,                 eta
    0,     0.07000501723197,    1.00081076095793,    1.84853037279644,    1.85002908905225,    1.84853037279644,
    1,     0.11042256544480,    1.32086926996171,    1.84758111889454,    2.44041312370926,    1.84758111889454,
    2,     0.15052966754450,    1.63646725585435,    1.84613891234756,    3.02114587981533,    1.84613891234756,
    3,     0.19006674139406,    1.93698654876109,    1.84131545112475,    3.56660326085460,    1.84131545112475,
    4,     0.22873152194788,    2.21580497526231,    1.83582513363525,    4.06783046482059,    1.83582513363525,
    5,     0.26623712652479,    2.46500975105496,    1.83651203523601,    4.52702007478656,    1.83651203523601,
    6,     0.30220000541732,    2.66691112457436,    1.83659560880140,    4.89803726045688,    1.83659560880140,
    7,     0.33624087728436,    2.80534525594187,    1.86728372975717,    5.23837555277171,    1.86728372975717,
    8,     0.36784519511202,    2.85052997028698,    1.90837205398165,    5.43987173433282,    1.90837205398165,
    9,     0.39657026634244,    2.88961708535545,    1.97627124079708,    5.71066714270386,    1.97627124079708,
   10,     0.42252101448681,    2.82658924584746,    1.99185885888507,    5.63016682977054,    1.99185885888507,
   11,     0.44666226509170,    2.70206069813270,    2.05416540088770,    5.55047959720265,    2.05416540088770,
   12,     0.46775617244507,    2.50639093054022,    2.12401225299131,    5.32360504725372,    2.12401225299131,
   13,     0.48671110653413,    2.24602945193552,    2.21478548052686,    4.97447341898249,    2.21478548052686,
   14,     0.50308065581058,    2.00310904098149,    2.33974646254226,    4.68676729272287,    2.33974646254226,
   15,     0.51736715511702,    1.74308031117790,    2.42626067365364,    4.22916721003088,    2.42626067365364,
   16,     0.53002272770535,    1.53359822709074,    2.53347303829250,    3.88532975990756,    2.53347303829250,
   17,     0.54126106230588,    1.35820155318477,    2.59322388389453,    3.52212070686140,    2.59322388389453,
   18,     0.55164381443647,    1.20904506290738,    2.64607153135766,    3.19921972108775,    2.64607153135766,
   19,     0.56137644441627,    1.08546731822057,    2.66845122894678,    2.89651659928724,    2.66845122894678,
   20,     0.57084192208597,    0.96933412311087,    2.68190343131634,    2.59966051086306,    2.68190343131634,
   21,     0.58028671869008,    0.85849381188121,    2.67431612121568,    2.29588384107782,    2.67431612121568,
   22,     0.58999791698171,    0.74160950309192,    2.66053992016792,    1.97308168815196,    2.66053992016792,
   23,     0.60027349476422,    0.61248777077888,    2.62357971494146,    1.60691049106518,    2.62357971494146,
   24,     0.61136300393316,    0.46487390054204,    2.58304637858215,    1.20079084529247,    2.58304637858215,
   25,     0.62366774802041,    0.28973538452804,    2.50164740367900,    0.72481577245851,    2.50164740367900,
   26,     0.63746691703052,    0.07502040414014,    2.42021054607194,    0.18156517327054,    2.42021054607194,
   27,     0.65333870675955,    -0.16577404082412,    2.28514072844879,    -0.37881701240672,    2.28514072844879,
   28,     0.67169546286439,    -0.44740840445239,    2.17982598549255,    -0.97527246615309,    2.17982598549255,
   29,     0.69248468370655,    -0.66805425346117,    2.07865976312010,    -1.38865749625098,    2.07865976312010,
   30,     0.71646806026987,    -0.82454795234847,    1.99240706345032,    -1.64283516441260,    1.99240706345032,
   31,     0.74256309001438,    -0.90872806967640,    1.96155164898916,    -1.78251704355649,    1.96155164898916,
   32,     0.77159187017238,    -0.85852734220206,    1.89048563751445,    -1.62303360984644,    1.89048563751445,
   33,     0.80336416248321,    -0.82494763934289,    1.85863562049321,    -1.53327706752449,    1.85863562049321,
   34,     0.83753332221653,    -0.71175384142741,    1.82972961188363,    -1.30231708003166,    1.82972961188363,
   35,     0.87362506230857,    -0.47607106525889,    1.83131333331133,    -0.87183528941234,    1.83131333331133,
   36,     0.91120553102755,    -0.22265077859073,    1.83335691577697,    -0.40819834473245,    1.83335691577697,
   37,     0.94991372782110,    0.05925635701168,    1.83980152303736,    0.10901993587974,    1.83980152303736,
   38,     0.98947080229149,    0.36185554592228,    1.84569156675988,    0.66787372949405,    1.84569156675988,
   39,     1.02958583428467,    0.67956122106010,    1.84735964623767,    1.25539397693443,    1.84735964623767,
   40,     1.07000501723197,    1.00081076095793,    1.84859930188757,    1.85009807402840,    1.84859930188757,
