  indi    x    h   hu
 1     0.000000000000000    1.014446798301020    1.530000000000000
 2     0.012500000000000    1.014446798301020    1.530000000000000
 3     0.025000000000000    1.014446798301020    1.530000000000000
 4     0.037500000000000    1.014446798301020    1.530000000000000
 5     0.050000000000000    1.014446798301020    1.530000000000000
 6     0.062500000000000    1.014446798301020    1.530000000000000
 7     0.075000000000000    1.014446798301020    1.530000000000000
 8     0.087500000000000    1.014446798301020    1.530000000000000
 9     0.100000000000000    1.014446798301020    1.530000000000000
 10     0.112500000000000    1.014446798301020    1.530000000000000
 11     0.125000000000000    1.014446798301020    1.530000000000000
 12     0.137500000000000    1.014446798301020    1.530000000000000
 13     0.150000000000000    1.014446798301020    1.530000000000000
 14     0.162500000000000    1.014446798301020    1.530000000000000
 15     0.175000000000000    1.014446798301020    1.530000000000000
 16     0.187500000000000    1.014446798301020    1.530000000000000
 17     0.200000000000000    1.014446798301020    1.530000000000000
 18     0.212500000000000    1.014446798301020    1.530000000000000
 19     0.225000000000000    1.014446798301020    1.530000000000000
 20     0.237500000000000    1.014446798301020    1.530000000000000
 21     0.250000000000000    1.014446798301020    1.530000000000000
 22     0.262500000000000    1.014446798301020    1.530000000000000
 23     0.275000000000000    1.014446798301020    1.530000000000000
 24     0.287500000000000    1.014446798301020    1.530000000000000
 25     0.300000000000000    1.014446798301020    1.530000000000000
 26     0.312500000000000    1.014446798301020    1.530000000000000
 27     0.325000000000000    1.014446798301020    1.530000000000000
 28     0.337500000000000    1.014446798301020    1.530000000000000
 29     0.350000000000000    1.014446798301020    1.530000000000000
 30     0.362500000000000    1.014446798301020    1.530000000000000
 31     0.375000000000000    1.014446798301020    1.530000000000000
 32     0.387500000000000    1.014446798301020    1.530000000000000
 33     0.400000000000000    1.014446798301020    1.530000000000000
 34     0.412500000000000    1.014446798301020    1.530000000000000
 35     0.425000000000000    1.014446798301020    1.530000000000000
 36     0.437500000000000    1.014446798301020    1.530000000000000
 37     0.450000000000000    1.014446798301020    1.530000000000000
 38     0.462500000000000    1.014446798301020    1.530000000000000
 39     0.475000000000000    1.014446798301020    1.530000000000000
 40     0.487500000000000    1.014446798301020    1.530000000000000
 41     0.500000000000000    1.014446798301020    1.530000000000000
 42     0.512500000000000    1.014446798301020    1.530000000000000
 43     0.525000000000000    1.014446798301020    1.530000000000000
 44     0.537500000000000    1.014446798301020    1.530000000000000
