dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,error ClassicalADER_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced,time ClassicalADER_equispaced
6250000.0,17338864316.360428,13090002842.058846,37330175138.25727,17338864316.360428,0.014074234984291252,0.00918337599426325,0.011806521607151288,0.014056257939997263
3125000.0,198220407.46957684,694275374.8541025,510862912.56796813,198220407.46957684,0.02905449065708256,0.01888252288716363,0.024208524599920823,0.02900821882836421
1562500.0,1702719.513809508,8617248.855461726,4541800.452602293,1702719.513809508,0.05929625021381071,0.03849156598568827,0.049194748456855966,0.05926006445702764
781250.0,13736.738933518996,76565.31535781879,37111.720624442474,13736.738933518996,0.11944376292896257,0.07759839792873079,0.09956722775677918,0.11915513504271595
390625.0,108.6472062618168,622.0357835252859,294.5954703230254,108.6472062618168,0.2388284584282831,0.15561312927145213,0.19929672988509992,0.2390818978601601
