dt,error ADER_gaussLobatto,error ADER_L2_gaussLobatto,error ADER_u_gaussLobatto,error ClassicalADER_gaussLobatto,time ADER_gaussLobatto,time ADER_L2_gaussLobatto,time ADER_u_gaussLobatto,time ClassicalADER_gaussLobatto
0.25,0.0011549454057835226,0.0011549454057835226,0.0011549454057835226,0.0011549454057835783,0.00021682952657179808,0.00020893084928476517,0.00022933003371352763,0.0002664288068564409
0.125,1.012725383873736e-05,1.012725383873603e-05,1.012725383873736e-05,1.012725383873603e-05,0.0004944596562854713,0.0004831534407141069,0.0005323967707133436,0.0006215917002867043
0.0625,1.1465493153686872e-07,1.1465493153686872e-07,1.1465493153686872e-07,1.1465493154994238e-07,0.00106760848157033,0.0010429804917127642,0.0011412334262869471,0.0013307851441422827
0.03125,1.5204290747386562e-09,1.5204290747386562e-09,1.5204290747386562e-09,1.5204290255360037e-09,0.0022137160971448925,0.002159548221399226,0.00235272786857552,0.0027592027985727844
0.015625,2.1883607540395577e-11,2.1883607540395577e-11,2.1883607540395577e-11,2.1883603290222556e-11,0.004475664355715188,0.004368896918572967,0.004753108377148497,0.005595138879985565
