dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,error ClassicalADER_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced,time ClassicalADER_equispaced
1.0,0.0009103273046399234,0.001392105941409082,0.0010977407652244245,0.0009103273046399234,0.0003746515668566905,0.00025632791414058635,0.00034131141086150564,0.00037431364186133056
0.5,3.7104112463154806e-05,4.14129995686584e-05,3.875148903729712e-05,3.7104112463154806e-05,0.0008649917728575279,0.0005973649789978351,0.0007921846297145489,0.0008716494868588468
0.25,1.167186920627036e-06,1.263456738053565e-06,1.1804705677015364e-06,1.167186920627036e-06,0.0018608704600025833,0.0012823506464233754,0.0016818053851415504,0.0018628874761385044
0.125,3.584125543583115e-08,3.891396299377237e-08,3.580419671075421e-08,3.584125543583115e-08,0.0038264645214076153,0.002652555695697499,0.0035165728599947346,0.0038574941742990634
0.0625,1.10591597009535e-09,1.2070781121021298e-09,1.098610856722226e-09,1.10591597009535e-09,0.007841923702820037,0.005363560228579444,0.007092755939977775,0.007804538557206148
