dt,error ADER_gaussLegendre,error ADER_L2_gaussLegendre,error ADER_u_gaussLegendre,error ClassicalADER_gaussLegendre,time ADER_gaussLegendre,time ADER_L2_gaussLegendre,time ADER_u_gaussLegendre,time ClassicalADER_gaussLegendre
1.0,2.1546615982958862e-07,1.9675433103083647e-07,2.3914504082101466e-07,2.2473886812622274e-07,0.0007363932567178771,0.0006779514781436385,0.000724813813144075,0.0011842317087180814
0.5,3.89197068809021e-10,4.1064517192896406e-10,3.3500285635056574e-10,4.1309867394900447e-10,0.0017113009897148004,0.0015825944378572915,0.0016828606697194379,0.002759359669954782
0.25,6.978064825247673e-13,7.976363817528587e-13,5.887809492502284e-13,7.374395993320509e-13,0.003687141432871743,0.003376979798589933,0.0035923716743543215,0.005888458425740413
0.125,1.3860704157872546e-15,1.59706926660351e-15,1.0795525544648422e-15,1.41311226123976e-15,0.007612416008591286,0.0070177979899952855,0.007431148911439647,0.012187694779983887
0.0625,9.986178876257888e-17,1.0401675395742023e-16,9.986178876257888e-17,1.0061606456302942e-16,0.015395621315692552,0.014172652562847362,0.015098425189997735,0.02471450724302226
