dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,error ClassicalADER_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced,time ClassicalADER_equispaced
6250000.0,202872285071.51447,241290692424.1151,219828676678.30353,202872285071.51447,0.007466447498570362,0.005265773728564714,0.006815560590018452,0.007444292347167252
3125000.0,19599806031.80902,49360319673.74538,23607896693.962242,19599806031.80902,0.015345939724252926,0.01084412995432753,0.01400433538284103,0.015408194811440939
1562500.0,712299047.9893559,2223064540.0330977,824445371.1695747,712299047.9893559,0.03117981090035755,0.02210690931429521,0.028589109742980717,0.031184188985623355
781250.0,23086868.063101944,76038928.86867464,26120673.549088914,23086868.063101944,0.06294495312862897,0.04456124711453283,0.05777952980029762,0.06301719227132188
390625.0,730999.6764389228,2445198.139607036,821247.5260652528,730999.6764389228,0.12633334232835167,0.0892489099854304,0.11570073198568674,0.12672870484280535
