dt,error ADER_L2_gaussLobatto,time ADER_L2_gaussLobatto,p averageADER_L2_gaussLobatto,p stdADER_L2_gaussLobatto,error ADER_u_gaussLobatto,time ADER_u_gaussLobatto,p averageADER_u_gaussLobatto,p stdADER_u_gaussLobatto
1.0,1.5288032204919715e-10,0.00168740917742876,13.0,0.0,2.17683617516116e-10,0.0019081260681435065,12.666666666666666,0.4714045207910317
0.5,5.2588545553270057e-11,0.0027188576857068774,10.0,0.0,2.445771132610276e-10,0.0030981895871186028,9.285714285714286,0.4517539514526256
0.25,3.1070670699363166e-11,0.004123543812872542,8.0,0.0,1.5632086406379761e-10,0.005485936398555559,7.866666666666666,0.33993463423951903
0.125,2.3976549734130875e-10,0.006686477762871489,6.838709677419355,0.36779852422552833,4.93238797606725e-10,0.007976651274303938,6.0,0.0
0.0625,2.2475974362035e-10,0.01068985474711683,5.841269841269841,0.3654242677213124,8.330682196971152e-10,0.013561083634329927,5.238095238095238,0.4259177099999598
