dt,error ADER_L2_gaussLegendre,time ADER_L2_gaussLegendre,p averageADER_L2_gaussLegendre,p stdADER_L2_gaussLegendre,error ADER_u_gaussLegendre,time ADER_u_gaussLegendre,p averageADER_u_gaussLegendre,p stdADER_u_gaussLegendre
2.5,1.9904992637208685e-07,0.04711562012879378,8.142857142857142,0.3499271061118825,1.612975168390983e-07,0.06302733768575958,8.0,0.0
1.25,3.801780755662842e-07,0.05921228711439264,6.0,0.0,2.687642233481431e-08,0.11282215988591945,7.0,0.0
0.625,3.1130684844569286e-07,0.08996580187168937,5.0,0.0,8.929020693507685e-07,0.14496664115743313,5.0,0.0
0.3125,9.789944429463345e-09,0.18103537334266417,5.0,0.0,2.9026285525961922e-08,0.29261227300074616,5.0,0.0
0.15625,7.504950542754507e-08,0.25460592442790847,4.0,0.0,1.0583851338894936e-07,0.43659187256915694,4.0,0.0
