dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,error ClassicalADER_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced,time ClassicalADER_equispaced
2.5,0.0006934552166305551,0.002095762943280315,0.0008578084645878447,0.0006934552166305551,0.02507708994276722,0.014988587329966581,0.021656366057037045,0.025083858000289182
1.25,2.6232413267879555e-05,9.054138501551133e-05,3.0896148491807e-05,2.6232413267879555e-05,0.053421460485593084,0.032077019528411,0.046501475729123096,0.05348444745738691
0.625,8.923880082384041e-07,3.2426196296480616e-06,1.0291379877496643e-06,8.923880082384041e-07,0.1106287033143287,0.06636517151429351,0.0956241849716337,0.11078334495728735
0.3125,2.901830609595756e-08,1.0770619088360976e-07,3.3179640207147354e-08,2.901830609595756e-08,0.2249968462835698,0.13461248255708985,0.1949842839715919,0.22481427257506376
0.15625,9.24402962098783e-10,3.4636897130282117e-09,1.0530814713854363e-09,9.24402962098783e-10,0.45335230114454006,0.2723879938546036,0.3929071767114302,0.4537114854299164
