dt,error ADER_L2_gaussLobatto,time ADER_L2_gaussLobatto,p averageADER_L2_gaussLobatto,p stdADER_L2_gaussLobatto,error ADER_u_gaussLobatto,time ADER_u_gaussLobatto,p averageADER_u_gaussLobatto,p stdADER_u_gaussLobatto
2.5,4.093794750218497e-08,0.04763152814287293,9.0,0.0,2.0213980030091631e-07,0.06221585144272207,8.0,0.0
1.25,1.4848281014674882e-07,0.06335299027144044,7.0,0.0,2.7875604224814813e-08,0.11032541838545253,7.0,0.0
0.625,7.078767374188543e-07,0.08102453991429814,5.387096774193548,0.48708609259811286,8.942732141057889e-07,0.14010275075727674,5.0,0.0
0.3125,1.0895710198116808e-07,0.141970389585809,5.0,0.0,2.9045795076981827e-08,0.28178222771384753,5.0,0.0
0.15625,3.879338320293506e-07,0.19215572335690792,4.0,0.0,1.0583741314702859e-07,0.4144200967150807,4.0,0.0
