dt,error ADER_equispaced,error ADER_L2_equispaced,error ADER_u_equispaced,error ClassicalADER_equispaced,time ADER_equispaced,time ADER_L2_equispaced,time ADER_u_equispaced,time ClassicalADER_equispaced
2.5,0.055585988698170254,0.14416236210072667,0.0555859886981692,0.055585988698170254,0.008171192785687578,0.005949297221439858,0.008290673610005928,0.00814740035142417
1.25,0.007760318671133742,0.02311808036013953,0.007760318671133742,0.007760318671133742,0.017438092821394094,0.012733663784269341,0.017726011690018435,0.01740183624006542
0.625,0.0010106412347301401,0.00316635892430995,0.0010106412347301401,0.0010106412347301401,0.03599662979998226,0.026313000856940303,0.036547694557313146,0.03596186944279388
0.3125,0.00012849520116142027,0.00041075235344823304,0.00012849520116150253,0.00012849520116142027,0.07316373688559648,0.053476040257373826,0.07372584297118011,0.07329427598576461
0.15625,1.6185268428753924e-05,5.219981587195923e-05,1.6185268428753924e-05,1.6185268428753924e-05,0.1473518234710874,0.10786223377155173,0.14842625079992494,0.14733738192839413
