dt,error ADER_L2_equispaced,time ADER_L2_equispaced,p averageADER_L2_equispaced,p stdADER_L2_equispaced,error ADER_u_equispaced,time ADER_u_equispaced,p averageADER_u_equispaced,p stdADER_u_equispaced
2.5,3.446689480162595e-08,0.047257458000136206,9.0,0.0,1.5508817566209558e-07,0.06321600614319323,8.0,0.0
1.25,1.4192145944636862e-07,0.06300212069992475,7.0,0.0,2.6475442360065883e-08,0.11142459152823514,7.0,0.0
0.625,7.017593525435098e-07,0.08076390695724903,5.387096774193548,0.48708609259811286,8.918967492936292e-07,0.13938007691405283,5.0,0.0
0.3125,1.0770619032797281e-07,0.14163057817183602,5.0,0.0,2.901760147405237e-08,0.28392731742808663,5.0,0.0
0.15625,3.8564938400656234e-07,0.19264707535704864,4.0,0.0,1.0583254809242872e-07,0.4171688554280471,4.0,0.0
