dt,error ADER_gaussLobatto,error ADER_L2_gaussLobatto,error ADER_u_gaussLobatto,error ClassicalADER_gaussLobatto,time ADER_gaussLobatto,time ADER_L2_gaussLobatto,time ADER_u_gaussLobatto,time ClassicalADER_gaussLobatto
1.0,2.283481646927627e-07,1.0825860905663177e-06,6.868596630274232e-07,2.2758487563556612e-07,0.0008409343385740482,0.000680179099571043,0.000787819329287491,0.0011744406938586117
0.5,4.245229957194041e-10,1.543097204664184e-09,7.383411511018531e-10,4.23924556047631e-10,0.0019386456915734536,0.0015789544091447689,0.00183164795999515,0.0027583650771287336
0.25,7.58289430381571e-13,2.6877973658147797e-12,1.103027173746448e-12,7.57660101277246e-13,0.004182398295691071,0.003361393192878625,0.003888662761455635,0.00587656696000652
0.125,1.435735248190189e-15,5.0441577637399035e-15,1.8649522140584342e-15,1.4623639484138167e-15,0.008613490814293202,0.006977832062860086,0.008024320407109502,0.012069570765722475
0.0625,9.986178876257888e-17,8.280039995049466e-17,9.968647923856803e-17,1.0401675395742023e-16,0.017493581111422307,0.014185285919998672,0.016438022484279436,0.024578231814458767
